,ChEBI,KEGG_ID
503,146206,
504,73072,
505,74062,
506,74066,
507,91150,
508,74871,
509,132047,
510,49260,
511,76942,
512,15724,
513,133751,
514,72991,
515,88765,
516,132987,
517,74824,
518,74751,
519,73699,
520,74753,
521,61695,
522,39540,
523,21347,C01255
524,133144,
525,84842,C01250
526,67249,
527,133177,
528,17898,C10696
529,133174,
530,176442,
531,89234,
532,133460,
533,142420,
534,133148,
535,77761,
536,133181,
537,31697,C09913
538,133186,
539,133225,
540,133171,
541,106363,
542,133178,
543,74077,
544,133180,
545,133185,
546,133223,
547,133522,
548,133209,
549,133708,
550,132188,
551,133456,
552,131982,
553,133430,
554,86256,
555,46215,
556,133508,
557,28832,C03431
558,34353,
559,84415,
560,74348,
561,136286,
562,86486,
563,320055,
564,133105,
565,84647,
566,133534,
567,69439,
568,156267,
569,133530,
570,133559,
571,27345,
572,133532,
573,133544,
574,88526,
575,133570,
576,35420,
577,133548,
578,133562,
579,87986,C12508
580,133568,
581,131459,
582,74532,
583,37946,
584,37049,
585,81014,
586,133587,
587,133590,
588,133592,
589,19232,
590,18403,
591,28009,
592,86507,
593,85527,
594,73052,
595,72733,
596,133678,
597,166737,
598,89605,
599,75034,
600,73003,
601,74963,
602,84829,
603,86241,C12423
604,84828,
605,86241,C12423
606,73000,
607,50613,
608,15598,
609,16196,
610,74072,
611,133596,
612,78647,
613,78268,
614,84822,
615,74000,
616,86137,
617,78261,
618,78266,
619,72834,
620,18185,
621,78342,
622,133646,
623,133647,
624,133636,
625,84557,
626,77292,
627,133664,
628,34112,
629,84757,
630,133617,
631,84566,
632,17884,
633,72837,
634,133649,
635,74977,
636,84814,
637,84555,
638,75216,
639,89618,
640,84562,
641,133669,
642,133672,
643,133675,
644,64564,
645,133677,
646,133682,
647,133684,
648,84842,C01250
649,133693,
650,133694,
651,90460,
652,78096,
653,73049,
654,28036,
655,11424,
656,19228,
657,19227,
658,88494,
659,48511,
660,73004,C06102
661,165558,
662,72959,
663,166485,
664,73072,
665,73105,
666,84645,
667,145234,
668,168338,
669,27547,
670,27547,
671,27547,
672,88773,
673,58535,
674,73053,
675,165848,
676,165398,
677,1556,C04280
678,89901,
679,58850,
680,38826,
681,28238,
682,176450,
683,71590,C04015
684,76341,
685,77042,
686,133418,
687,168338,
688,89312,
689,176456,
690,47276,
691,192724,
692,138569,
693,167215,
694,88733,
695,172425,
696,137799,
697,89129,
698,176472,
699,133940,
700,176689,
701,15786,
702,132135,
703,86063,C12466
704,30816,
705,70966,
706,31885,C08466
707,30747,
708,89188,
709,84100,
710,28320,
711,134398,
712,195382,
