ChEBI,KEGG
50613,C05984
15598,C02225
16196,"C00712
chebi"
74072,
133596,
78647,
78268,
84822,
74000,
86137,
78261,
78266,
72834,
18185,C02483
78342,
133646,
133647,
133636,
84557,
77292,
133664,
34112,C13894
84757,
133617,
84566,
17884,C04148
72837,
133649,
74977,
84814,
84555,
75216,
89618,
84562,
133669,
133672,
133675,
64564,
133677,
133682,
133684,
84842,
133693,
133694,
90460,
78096,
73049,
28036,C05595
11424,
19228,
19227,
88494,
48511,
73004,
165558,
72959,
166485,
73072,
73105,
84645,
145234,
168338,
27547,C06098
27547,C06098
27547,C06098
88773,
58535,
73053,
165848,
165398,
1556,C10151
89901,
58850,
38826,
28238,C08493
176450,
71590,
76341,
77042,
133418,
168338,
89312,
176456,
47276,
192724,
138569,
167215,
88733,
172425,C05545
137799,
89129,
176472,
133940,
176689,
15786,C01259
132135,
86063,
30816,C06672
70966,
31885,C12986
30747,C02370
89188,
84100,
28320,C05472
134398,
195382,
